phase2_index,sim_score,triplets_index
70388,0.2692,18636
77782,0.2604,14791
80266,0.255,18636
70573,0.2542,14550
76024,0.2537,10598
81170,0.2527,18636
80890,0.25,18636
70570,0.2497,13560
80716,0.2495,18636
70414,0.2472,13575
70415,0.2469,13575
84231,0.2417,14791
70543,0.2371,10001
75702,0.228,13531
75497,0.2276,13531
75603,0.2276,13531
75596,0.2276,13531
70477,0.2228,13531
83466,0.2204,10431
70569,0.2187,13560
70574,0.2173,10693
70985,0.2168,8476
70766,0.2132,10431
76246,0.2132,13560
70526,0.2122,10225
70632,0.2111,10674
76134,0.2102,13560
70391,0.21,18562
71112,0.209,13575
70723,0.2062,15044
75152,0.2045,10674
76188,0.2024,10373
75158,0.2017,10674
77950,0.2016,18562
75274,0.2014,10674
75172,0.2011,10674
85250,0.1985,13579
80244,0.1985,18562
74272,0.1985,10666
70390,0.1972,18562
80213,0.1969,18562
79093,0.1967,18562
75377,0.1951,10674
83768,0.1949,13579
83819,0.1949,13579
83802,0.1949,13579
83785,0.1949,13579
75381,0.1948,10674
76300,0.1938,10373
70396,0.189,13741
77338,0.1889,10225
70986,0.1888,8476
82615,0.1888,15044
77517,0.1874,10225
70478,0.1863,13556
85292,0.1861,10225
85271,0.1858,10225
82638,0.1855,15044
85234,0.1854,10225
82626,0.1854,15044
72732,0.183,13575
72694,0.1825,13575
76635,0.1824,13830
70630,0.1818,13579
70722,0.1814,15044
75428,0.1799,8398
75465,0.1799,8398
75488,0.1795,8398
76351,0.1795,13830
75434,0.1792,8398
70624,0.1784,13579
74050,0.1762,8163
77055,0.176,13830
70767,0.1751,10893
71130,0.1749,13830
76892,0.1747,13830
75417,0.1732,13531
75399,0.173,13531
74328,0.1729,8476
70523,0.172,10598
74125,0.1718,8163
74087,0.1718,8163
74016,0.1718,8163
84107,0.1714,13579
70524,0.1694,10577
77697,0.1687,13579
70701,0.1684,10021
82196,0.1682,13579
70397,0.1681,13741
84129,0.1678,13579
70627,0.1667,8476
71129,0.1665,13830
70682,0.1664,13955
82174,0.1659,13579
70959,0.1656,8399
77718,0.1649,13579
70508,0.1648,19655
84086,0.1645,13579
70683,0.1638,13955
77594,0.1631,13579
77761,0.1612,13579
70395,0.1611,12892
70866,0.1608,12892
83925,0.1579,13579
70631,0.1575,10674
83992,0.1568,13579
70700,0.1567,10021
77437,0.1538,13579
71004,0.1537,19655
84024,0.1523,13579
77739,0.1514,9345
84056,0.1509,13579
82377,0.1503,19658
85104,0.1483,19655
85101,0.1483,19655
85108,0.1479,19655
85097,0.1479,19655
81753,0.1477,19655
81738,0.1477,19655
81748,0.1477,19655
81743,0.1477,19655
71003,0.1472,19655
70869,0.146,11689
70870,0.146,11689
82170,0.1431,13312
82202,0.1431,13312
70625,0.1397,8476
70958,0.1395,19658
70507,0.1235,19655
70563,0.123,20101
73767,0.1185,8163
70515,0.1162,9344
73644,0.1143,8163
73401,0.1143,8163
84150,0.1127,11400
73524,0.1123,9344
70394,0.1113,11400
70516,0.1105,19966
70765,0.107,9361
72964,0.1055,19966
73101,0.1055,19966
73313,0.1051,19966
73208,0.1048,19966
81522,0.0988,19658
70764,0.0984,16170
81593,0.0956,19658
81666,0.0956,19658
81449,0.0955,19658
85378,0.0875,13713
70864,0.0868,13713
85313,0.0868,13713
85435,0.0868,13713
70865,0.0797,9349
82552,0.0789,13579
82407,0.0788,13579
82475,0.0788,9349
