,method,test
14,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test14()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
15,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test15()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
16,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test16()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
17,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test17()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
18,"  public String toString() {
    return method() + ' ' + url();
  }","  public void test18()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
19,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test19()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
20,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test20()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
21,"  public HttpRequest bufferSize(final int size) {
    if (size < 1)
      throw new IllegalArgumentException(""Size must be greater than zero"");
    bufferSize = size;
    return this;
  }","  public void test21()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
22,"  public HttpRequest ignoreCloseExceptions(final boolean ignore) {
    ignoreCloseExceptions = ignore;
    return this;
  }","  public void test22()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
23,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test23()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
24,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test24()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
}"
25,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test25()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
}"
26,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test26()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
}"
27,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test27()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
}"
28,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test28()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
}"
29,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test29()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
}"
30,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test30()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
      PrintStream printStream1 = mockPrintStream0.format(""TRACE"", objectArray0);
}"
31,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test31()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
      PrintStream printStream1 = mockPrintStream0.format(""TRACE"", objectArray0);
}"
32,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test32()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
      PrintStream printStream1 = mockPrintStream0.format(""TRACE"", objectArray0);
}"
33,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test33()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
      PrintStream printStream1 = mockPrintStream0.format(""TRACE"", objectArray0);
}"
34,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test34()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
      PrintStream printStream1 = mockPrintStream0.format(""TRACE"", objectArray0);
}"
35,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test35()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
      FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
      Object[] objectArray0 = new Object[1];
      objectArray0[0] = (Object) mockPrintStream0;
      String string0 = ""*JodChI+"";
      PrintStream printStream0 = mockPrintStream0.format(""*JodChI+"", objectArray0);
      PrintStream printStream1 = mockPrintStream0.format(""TRACE"", objectArray0);
}"
36,,"  public void test36()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
37,,"  public void test37()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
38,"  public String toString() {
    return method() + ' ' + url();
  }","  public void test38()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
39,,"  public void test39()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
40,,"  public void test40()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
41,,"  public void test41()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
42,,"  public void test42()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
43,,"  public void test43()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
44,,"  public void test44()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
45,,"  public void test45()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
46,,"  public void test46()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
47,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test47()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
48,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test48()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
49,"  public String toString() {
    return method() + ' ' + url();
  }","  public void test49()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
50,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test50()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
51,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test51()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
52,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test52()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
53,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test53()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
54,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test54()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
55,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test55()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
56,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test56()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
57,"  public HttpRequest bufferSize(final int size) {
    if (size < 1)
      throw new IllegalArgumentException(""Size must be greater than zero"");
    bufferSize = size;
    return this;
  }","  public void test57()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
58,"  public HttpRequest ignoreCloseExceptions(final boolean ignore) {
    ignoreCloseExceptions = ignore;
    return this;
  }","  public void test58()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
59,"  public static HttpRequest get(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_GET);
  }","  public void test59()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
}"
60,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test60()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
61,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test61()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
62,"  public String toString() {
    return method() + ' ' + url();
  }","  public void test62()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
63,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test63()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
64,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test64()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
65,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test65()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
66,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test66()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
67,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test67()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
68,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test68()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
69,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test69()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
70,"  public HttpRequest bufferSize(final int size) {
    if (size < 1)
      throw new IllegalArgumentException(""Size must be greater than zero"");
    bufferSize = size;
    return this;
  }","  public void test70()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
71,"  public HttpRequest ignoreCloseExceptions(final boolean ignore) {
    ignoreCloseExceptions = ignore;
    return this;
  }","  public void test71()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
72,"  public HttpRequest ignoreCloseExceptions(final boolean ignore) {
    ignoreCloseExceptions = ignore;
    return this;
  }","  public void test72()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
73,"  public HttpRequest bufferSize(final int size) {
    if (size < 1)
      throw new IllegalArgumentException(""Size must be greater than zero"");
    bufferSize = size;
    return this;
  }","  public void test73()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
74,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test74()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
75,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test75()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
76,"  public HttpRequest followRedirects(final boolean followRedirects) {
    getConnection().setInstanceFollowRedirects(followRedirects);
    return this;
  }","  public void test76()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      String string0 = ""e{"";
      HttpRequest httpRequest0 = HttpRequest.get(uRL0);
      boolean boolean0 = false;
      HttpRequest httpRequest1 = httpRequest0.followRedirects(false);
}"
77,,"  public void test77()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
78,,"  public void test78()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
79,,"  public void test79()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
80,,"  public void test80()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
81,,"  public void test81()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
82,,"  public void test82()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
83,,"  public void test83()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
84,"  public String toString() {
    return method() + ' ' + url();
  }","  public void test84()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
85,,"  public void test85()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
86,,"  public void test86()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
87,,"  public void test87()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
88,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test88()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
89,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test89()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
90,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test90()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
91,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test91()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
92,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test92()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
93,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test93()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
94,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test94()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
95,"  public String toString() {
    return method() + ' ' + url();
  }","  public void test95()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
96,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test96()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
97,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test97()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
98,"  public HttpRequest ignoreCloseExceptions(final boolean ignore) {
    ignoreCloseExceptions = ignore;
    return this;
  }","  public void test98()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
99,"  public HttpRequest bufferSize(final int size) {
    if (size < 1)
      throw new IllegalArgumentException(""Size must be greater than zero"");
    bufferSize = size;
    return this;
  }","  public void test99()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
100,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test100()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
101,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test101()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
      MockPrintStream mockPrintStream0 = new MockPrintStream(""Content-Type"");
}"
