,method,test
10,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test0()  throws Throwable  {
      // Undeclared exception!
      try { 
        Privilizer.wrap((Type) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.privilizer.Privilizer"", e);
      }
  }"
11,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test1()  throws Throwable  {
      Type type0 = Type.DOUBLE_TYPE;
      Type type1 = Privilizer.wrap(type0);
}"
12,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test2()  throws Throwable  {
      Type type0 = Type.LONG_TYPE;
      Type type1 = Privilizer.wrap(type0);
}"
13,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test3()  throws Throwable  {
      Type type0 = Type.FLOAT_TYPE;
      Type type1 = Privilizer.wrap(type0);
}"
14,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test4()  throws Throwable  {
      Type type0 = Type.INT_TYPE;
      Type type1 = Privilizer.wrap(type0);
      Type type2 = Privilizer.wrap(type1);
}"
15,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test5()  throws Throwable  {
      Type type0 = Type.BYTE_TYPE;
      Type type1 = Privilizer.wrap(type0);
}"
16,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test6()  throws Throwable  {
      Type type0 = Type.CHAR_TYPE;
      Type type1 = Privilizer.wrap(type0);
}"
17,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test7()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Type type1 = Privilizer.wrap(type0);
}"
18,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test8()  throws Throwable  {
      Type type0 = Type.SHORT_TYPE;
      Type type1 = Privilizer.wrap(type0);
}"
19,"    static Type wrap(final Type type) {
        switch (type.getSort()) {
        case Type.BOOLEAN:
            return Type.getType(Boolean.class);
        case Type.BYTE:
            return Type.getType(Byte.class);
        case Type.SHORT:
            return Type.getType(Short.class);
        case Type.INT:
            return Type.getType(Integer.class);
        case Type.CHAR:
            return Type.getType(Character.class);
        case Type.LONG:
            return Type.getType(Long.class);
        case Type.FLOAT:
            return Type.getType(Float.class);
        case Type.DOUBLE:
            return Type.getType(Double.class);
        case Type.VOID:
            return Type.getType(Void.class);
        default:
            return type;
        }
    }","  public void test9()  throws Throwable  {
      Type type0 = Type.VOID_TYPE;
      Type type1 = Privilizer.wrap(type0);
}"
20,"    public Privilizer(final WeaveEnvironment env) {
        super();
        this.env = env;
        this.policy = Policy.parse(env.config.getProperty(CONFIG_POLICY));
        this.accessLevel = AccessLevel.parse(env.config.getProperty(CONFIG_ACCESS_LEVEL));
        verify = BooleanUtils.toBoolean(env.config.getProperty(CONFIG_VERIFY));
    }","  public void test10()  throws Throwable  {
      WeaveEnvironment weaveEnvironment0 = mock(WeaveEnvironment.class, new ViolatedAssumptionAnswer());
      Privilizer privilizer0 = null;
      try {
        privilizer0 = new Privilizer(weaveEnvironment0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.privilizer.Privilizer"", e);
      }
  }"
21,"    public void visitEnd() {
        super.visitEnd();
        accept(new VisitEnd());
    }","  public void test0()  throws Throwable  {
      HashMap<Method, String> hashMap0 = new HashMap<Method, String>();
      InlineNestedPrivilegedCalls inlineNestedPrivilegedCalls0 = new InlineNestedPrivilegedCalls((Privilizer) null, hashMap0, (ClassVisitor) null);
      String[] stringArray0 = new String[7];
      inlineNestedPrivilegedCalls0.visitMethod(393216, (String) null, """", ""byte"", stringArray0);
      inlineNestedPrivilegedCalls0.visitEnd();
}"
22,"    public void visitEnd() {
        super.visitEnd();
        accept(new VisitEnd());
    }","  public void test1()  throws Throwable  {
      HashMap<Method, String> hashMap0 = new HashMap<Method, String>();
      InlineNestedPrivilegedCalls inlineNestedPrivilegedCalls0 = new InlineNestedPrivilegedCalls((Privilizer) null, hashMap0, (ClassVisitor) null);
      inlineNestedPrivilegedCalls0.visitNestHostExperimental(""PACKAGE"");
      // Undeclared exception!
      try { 
        inlineNestedPrivilegedCalls0.visitEnd();
        fail(""Expecting exception: UnsupportedOperationException"");
      } catch(UnsupportedOperationException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.objectweb.asm.ClassVisitor"", e);
      }
  }"
23,"    public void visitEnd() {
        super.visitEnd();
        accept(new VisitEnd());
    }","  public void test2()  throws Throwable  {
      HashMap<Method, String> hashMap0 = new HashMap<Method, String>();
      InlineNestedPrivilegedCalls inlineNestedPrivilegedCalls0 = new InlineNestedPrivilegedCalls((Privilizer) null, hashMap0, (ClassVisitor) null);
      String[] stringArray0 = new String[15];
      String string0 = hashMap0.put((Method) null, (String) null);
      inlineNestedPrivilegedCalls0.visitMethod(0, string0, string0, (String) null, stringArray0);
      inlineNestedPrivilegedCalls0.visitEnd();
}"
24,"    public void visitEnd() {
        super.visitEnd();
        accept(new VisitEnd());
    }","  public void test3()  throws Throwable  {
      HashMap<Method, String> hashMap0 = new HashMap<Method, String>();
      ClassWriter classWriter0 = new ClassWriter((-1416));
      InlineNestedPrivilegedCalls inlineNestedPrivilegedCalls0 = new InlineNestedPrivilegedCalls((Privilizer) null, hashMap0, classWriter0);
      // Undeclared exception!
      try { 
        inlineNestedPrivilegedCalls0.visitEnd();
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.objectweb.asm.SymbolTable"", e);
      }
  }"
25,"    ActionGenerator(final int access, final Method methd, final String[] exceptions, final PrivilizingVisitor owner) {
        owner.privilizer().super(ClassWriter.COMPUTE_MAXS | ClassWriter.COMPUTE_FRAMES);
        this.methd = methd;
        this.exc = ArrayUtils.isNotEmpty(exceptions);
        this.exceptions = exc ? new Type[] { Type.getType(Exception.class) } : null;
        this.owner = owner;
        this.simpleName = generateName(methd);
        this.action = Type.getObjectType(owner.className + '$' + simpleName);

        int privilegedAccessIndex = -1;
        String implName = null;
        for (final Map.Entry<Method, String> entry : owner.privilegedMethods.entrySet()) {
            privilegedAccessIndex++;
            if (entry.getKey().equals(methd)) {
                implName = entry.getValue();
                break;
            }
        }
        Validate.validState(implName != null);

        this.index = privilegedAccessIndex;

        this.impl = new Method(implName, methd.getDescriptor());
        this.implIsStatic = Modifier.isStatic(access);
        final Type[] args =
            implIsStatic ? methd.getArgumentTypes() : ArrayUtils.insert(0, methd.getArgumentTypes(), owner.target);
        this.helper = new Method(privilizer().generateName(""access$"" + index), methd.getReturnType(), args);
        this.result = Privilizer.wrap(methd.getReturnType());
        this.fields = fields(args);
        this.actionInterface = Type.getType(exc ? PrivilegedExceptionAction.class : PrivilegedAction.class);
    }","  public void test0()  throws Throwable  {
      ActionGenerator actionGenerator0 = null;
      try {
        actionGenerator0 = new ActionGenerator((-1891), (Method) null, (String[]) null, (PrivilizingVisitor) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.privilizer.ActionGenerator"", e);
      }
  }"
26,"    public Field(final int access, final String name, final Type type) {
        super();
        this.access = access;
        this.name = Validate.notNull(name);
        this.type = Validate.notNull(type);
    }","  public void test0()  throws Throwable  {
      Type type0 = Type.BYTE_TYPE;
      Field field0 = null;
      try {
        field0 = new Field((-5938), (String) null, type0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // The validated object is null
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
27,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test1()  throws Throwable  {
      Type type0 = Type.FLOAT_TYPE;
      Field field0 = new Field(0, """", type0);
      Class<Type> class0 = Type.class;
      Type type1 = Type.getType(class0);
      Field field1 = new Field(6, """", type1);
      boolean boolean0 = field0.equals(field1);
}"
28,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test2()  throws Throwable  {
      Type type0 = Type.FLOAT_TYPE;
      Field field0 = new Field(0, """", type0);
      Class<Type> class0 = Type.class;
      Type type1 = Type.getType(class0);
      Field field1 = new Field(6, """", type1);
      boolean boolean0 = field0.equals(field1);
}"
29,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test3()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      Field field1 = new Field(4, ""A%8.>omSmEf"", type0);
      boolean boolean0 = field0.equals(field1);
}"
30,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test4()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      Field field1 = new Field(4, ""A%8.>omSmEf"", type0);
      boolean boolean0 = field0.equals(field1);
}"
31,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test5()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      Field field1 = new Field(8, """", type0);
      boolean boolean0 = field0.equals(field1);
}"
32,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test6()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      Field field1 = new Field(8, """", type0);
      boolean boolean0 = field0.equals(field1);
}"
33,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test7()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      boolean boolean0 = field0.equals(field0);
}"
34,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test8()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      boolean boolean0 = field0.equals(field0);
}"
35,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test9()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      boolean boolean0 = field0.equals((Object) null);
}"
36,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof Field)) {
            return false;
        }
        final Field other = (Field) obj;
        return StringUtils.equals(other.name, name) && Objects.equals(other.type, type);
    }","  public void test10()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      boolean boolean0 = field0.equals((Object) null);
}"
37,"    public int hashCode() {
        return Objects.hash(name, type);
    }","  public void test11()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Field field0 = new Field(1, """", type0);
      field0.hashCode();
}"
38,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test0()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Type[] typeArray0 = new Type[5];
      typeArray0[0] = type0;
      typeArray0[1] = typeArray0[0];
      typeArray0[2] = type0;
      typeArray0[3] = type0;
      typeArray0[4] = type0;
      Type type1 = Type.getMethodType(type0, typeArray0);
      FieldAccess fieldAccess0 = new FieldAccess(0, type1, ""@fP[D@\""le,B=~xrf`"", type0);
      FieldAccess fieldAccess1 = new FieldAccess((-3161), type0, ""@fP[D@\""le,B=~xrf`"", type0);
      boolean boolean0 = fieldAccess0.equals(fieldAccess1);
}"
39,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test1()  throws Throwable  {
      Type type0 = Type.BOOLEAN_TYPE;
      Type[] typeArray0 = new Type[5];
      typeArray0[0] = type0;
      typeArray0[1] = typeArray0[0];
      typeArray0[2] = type0;
      typeArray0[3] = type0;
      typeArray0[4] = type0;
      Type type1 = Type.getMethodType(type0, typeArray0);
      FieldAccess fieldAccess0 = new FieldAccess(0, type1, ""@fP[D@\""le,B=~xrf`"", type0);
      FieldAccess fieldAccess1 = new FieldAccess((-3161), type0, ""@fP[D@\""le,B=~xrf`"", type0);
      boolean boolean0 = fieldAccess0.equals(fieldAccess1);
}"
40,"    public int hashCode() {
        final int result = super.hashCode() << 4;
        return result | owner.hashCode();
    }","  public void test2()  throws Throwable  {
      Type type0 = Type.BYTE_TYPE;
      FieldAccess fieldAccess0 = new FieldAccess(0, type0, "")V"", type0);
      fieldAccess0.hashCode();
  }"
41,"    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof FieldAccess)) {
            return false;
        }
        return super.equals(obj) && ((FieldAccess) obj).owner.equals(owner);
    }","  public void test3()  throws Throwable  {
      Type type0 = Type.getMethodType(""-"");
      FieldAccess fieldAccess0 = new FieldAccess((-2085), type0, ""-"", type0);
      Type[] typeArray0 = new Type[1];
      typeArray0[0] = fieldAccess0.owner;
      Type type1 = Type.getMethodType(fieldAccess0.owner, typeArray0);
      FieldAccess fieldAccess1 = new FieldAccess(2, type1, ""-"", fieldAccess0.type);
      boolean boolean0 = fieldAccess0.equals(fieldAccess1);
}"
