,method,test
15,"    public Object resolveNamespace(final String name) {
        if (name == null || name.isEmpty()) {
            return object;
        }
        return null;
    }","  public void test7()  throws Throwable  {
      ObjectContext<Object> objectContext0 = new ObjectContext<Object>((JexlEngine) null, (Object) null);
      Object object0 = objectContext0.resolveNamespace((String) null);
}"
16,"    protected T getObject() {
        return object;
    }","  public void test8()  throws Throwable  {
      ObjectContext<Object> objectContext0 = new ObjectContext<Object>((JexlEngine) null, (Object) null);
      Object object0 = objectContext0.getObject();
}"
17,"    protected JexlEngine getJexl() {
        return jexl;
    }","  public void test9()  throws Throwable  {
      ObjectContext<Object> objectContext0 = new ObjectContext<Object>((JexlEngine) null, (Object) null);
      JexlEngine jexlEngine0 = objectContext0.getJexl();
}"
18,"    public JexlBuilder cacheThreshold(final int length) {
        this.cacheThreshold = length > 0? length : CACHE_THRESHOLD;
        return this;
    }","  public void test0()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.cacheThreshold(2139);
      jexlBuilder0.create();
}"
19,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test1()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.cacheThreshold(0);
}"
20,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test2()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.cacheThreshold(0);
}"
21,"    public JexlBuilder collectAll(final boolean flag) {
        return collectMode(flag? 1 : 0);
    }","  public void test3()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.cacheThreshold(0);
}"
22,"    public JexlBuilder cacheThreshold(final int length) {
        this.cacheThreshold = length > 0? length : CACHE_THRESHOLD;
        return this;
    }","  public void test4()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.cacheThreshold(0);
}"
23,"    public JexlBuilder collectMode(final int mode) {
        this.collectMode = mode;
        return this;
    }","  public void test5()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.collectMode((-1727));
      boolean boolean0 = jexlBuilder1.collectAll();
}"
24,"    public JexlBuilder collectAll(final boolean flag) {
        return collectMode(flag? 1 : 0);
    }","  public void test6()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.collectMode((-1727));
      boolean boolean0 = jexlBuilder1.collectAll();
}"
25,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test7()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
}"
26,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test8()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.stackOverflow(0);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      Jdk13LumberjackLogger jdk13LumberjackLogger0 = new Jdk13LumberjackLogger(""error"");
      Uberspect uberspect0 = new Uberspect(jdk13LumberjackLogger0, jexlUberspect_ResolverStrategy0);
      jexlBuilder0.uberspect((JexlUberspect) uberspect0);
}"
27,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test9()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      NoOpLog noOpLog0 = new NoOpLog();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0);
      jexlBuilder0.stackOverflow((-2823));
      jexlBuilder0.uberspect((JexlUberspect) uberspect0);
}"
28,"    public JexlBuilder lexical(final boolean flag) {
        options.setLexical(flag);
        return this;
    }","  public void test10()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.lexicalShade(true);
      NoOpLog noOpLog0 = new NoOpLog();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0);
      jexlBuilder1.uberspect((JexlUberspect) uberspect0);
}"
29,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test11()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.lexicalShade(true);
      NoOpLog noOpLog0 = new NoOpLog();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0);
      jexlBuilder1.uberspect((JexlUberspect) uberspect0);
}"
30,"    public JexlBuilder collectMode(final int mode) {
        this.collectMode = mode;
        return this;
    }","  public void test12()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.collectMode((-3044));
      JexlEngine jexlEngine0 = jexlBuilder0.create();
      JexlUberspect jexlUberspect0 = jexlEngine0.getUberspect();
      jexlBuilder0.uberspect(jexlUberspect0);
}"
31,"    public JexlBuilder collectMode(final int mode) {
        this.collectMode = mode;
        return this;
    }","  public void test13()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
}"
32,"    public JexlBuilder collectAll(final boolean flag) {
        return collectMode(flag? 1 : 0);
    }","  public void test14()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      NoOpLog noOpLog0 = new NoOpLog(""53"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Permissions permissions0 = Permissions.DEFAULT;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0, permissions0);
      JexlBuilder jexlBuilder1 = jexlBuilder0.collectAll(false);
      jexlBuilder1.uberspect((JexlUberspect) uberspect0);
}"
33,"    public JexlBuilder collectMode(final int mode) {
        this.collectMode = mode;
        return this;
    }","  public void test15()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      NoOpLog noOpLog0 = new NoOpLog(""53"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Permissions permissions0 = Permissions.DEFAULT;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0, permissions0);
      JexlBuilder jexlBuilder1 = jexlBuilder0.collectAll(false);
      jexlBuilder1.uberspect((JexlUberspect) uberspect0);
}"
34,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test16()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
}"
35,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test17()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.cache(0);
      NoOpLog noOpLog0 = new NoOpLog();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      Permissions permissions0 = Permissions.DEFAULT;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0, permissions0);
      jexlBuilder1.uberspect((JexlUberspect) uberspect0);
}"
36,"    public JexlBuilder collectAll(final boolean flag) {
        return collectMode(flag? 1 : 0);
    }","  public void test18()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.cache(0);
      NoOpLog noOpLog0 = new NoOpLog();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      Permissions permissions0 = Permissions.DEFAULT;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0, permissions0);
      jexlBuilder1.uberspect((JexlUberspect) uberspect0);
}"
37,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test19()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.cache(14);
      Jdk13LumberjackLogger jdk13LumberjackLogger0 = new Jdk13LumberjackLogger(""forEach"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Uberspect uberspect0 = new Uberspect(jdk13LumberjackLogger0, jexlUberspect_ResolverStrategy0, (Permissions) null);
      jexlBuilder0.uberspect((JexlUberspect) uberspect0);
}"
38,"    public JexlBuilder antish(final boolean flag) {
        options.setAntish(flag);
        return this;
    }","  public void test20()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.antish(false);
      NoOpLog noOpLog0 = new NoOpLog(""53"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Permissions permissions0 = Permissions.DEFAULT;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0, permissions0);
      jexlBuilder1.uberspect((JexlUberspect) uberspect0);
}"
39,"    public JexlBuilder cacheThreshold(final int length) {
        this.cacheThreshold = length > 0? length : CACHE_THRESHOLD;
        return this;
    }","  public void test21()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.antish(false);
      NoOpLog noOpLog0 = new NoOpLog(""53"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Permissions permissions0 = Permissions.DEFAULT;
      Uberspect uberspect0 = new Uberspect(noOpLog0, jexlUberspect_ResolverStrategy0, permissions0);
      jexlBuilder1.uberspect((JexlUberspect) uberspect0);
}"
40,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test22()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      Jdk13LumberjackLogger jdk13LumberjackLogger0 = new Jdk13LumberjackLogger(""forEach"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Uberspect uberspect0 = new Uberspect(jdk13LumberjackLogger0, jexlUberspect_ResolverStrategy0, (Permissions) null);
      JexlBuilder jexlBuilder1 = jexlBuilder0.uberspect((JexlUberspect) uberspect0);
      jexlBuilder1.uberspect();
}"
41,"    public JexlBuilder collectAll(final boolean flag) {
        return collectMode(flag? 1 : 0);
    }","  public void test23()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      Jdk13LumberjackLogger jdk13LumberjackLogger0 = new Jdk13LumberjackLogger(""forEach"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Uberspect uberspect0 = new Uberspect(jdk13LumberjackLogger0, jexlUberspect_ResolverStrategy0, (Permissions) null);
      JexlBuilder jexlBuilder1 = jexlBuilder0.uberspect((JexlUberspect) uberspect0);
      jexlBuilder1.uberspect();
}"
42,"    public JexlBuilder cacheThreshold(final int length) {
        this.cacheThreshold = length > 0? length : CACHE_THRESHOLD;
        return this;
    }","  public void test24()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      Jdk13LumberjackLogger jdk13LumberjackLogger0 = new Jdk13LumberjackLogger(""forEach"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Uberspect uberspect0 = new Uberspect(jdk13LumberjackLogger0, jexlUberspect_ResolverStrategy0, (Permissions) null);
      JexlBuilder jexlBuilder1 = jexlBuilder0.uberspect((JexlUberspect) uberspect0);
      jexlBuilder1.uberspect();
}"
43,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test25()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      Jdk13LumberjackLogger jdk13LumberjackLogger0 = new Jdk13LumberjackLogger(""forEach"");
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      Uberspect uberspect0 = new Uberspect(jdk13LumberjackLogger0, jexlUberspect_ResolverStrategy0, (Permissions) null);
      JexlBuilder jexlBuilder1 = jexlBuilder0.uberspect((JexlUberspect) uberspect0);
      jexlBuilder1.uberspect();
}"
44,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test26()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
}"
45,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test27()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.stackOverflow(0);
      jexlBuilder0.strict(true);
}"
46,"    public JexlBuilder strict(final boolean flag) {
        options.setStrict(flag);
        return this;
    }","  public void test28()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.stackOverflow((-696));
      jexlBuilder0.strict(false);
}"
47,"    public JexlBuilder lexical(final boolean flag) {
        options.setLexical(flag);
        return this;
    }","  public void test29()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.lexicalShade(true);
      jexlBuilder0.strict(true);
}"
48,"    public JexlBuilder collectMode(final int mode) {
        this.collectMode = mode;
        return this;
    }","  public void test30()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.collectMode((-3044));
      jexlBuilder1.strict(true);
}"
49,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test31()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.collectMode((-3044));
      jexlBuilder1.strict(true);
}"
50,"    public JexlBuilder collectMode(final int mode) {
        this.collectMode = mode;
        return this;
    }","  public void test32()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
}"
51,"    public JexlBuilder collectAll(final boolean flag) {
        return collectMode(flag? 1 : 0);
    }","  public void test33()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.collectAll(false);
      jexlBuilder1.strict(true);
}"
52,"    public JexlBuilder strict(final boolean flag) {
        options.setStrict(flag);
        return this;
    }","  public void test34()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.collectAll(false);
      jexlBuilder1.strict(true);
}"
53,"    public JexlBuilder strict(final boolean flag) {
        options.setStrict(flag);
        return this;
    }","  public void test35()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.cache(0);
      jexlBuilder1.strict(false);
}"
54,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test36()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.cache(4095);
      jexlBuilder0.strict(true);
}"
55,"    public JexlBuilder antish(final boolean flag) {
        options.setAntish(flag);
        return this;
    }","  public void test37()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.antish(false);
      jexlBuilder1.strict(true);
}"
56,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test38()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.antish(false);
      jexlBuilder1.strict(true);
}"
57,"    public JexlBuilder strict(final boolean flag) {
        options.setStrict(flag);
        return this;
    }","  public void test39()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.strict(false);
      jexlBuilder0.strict();
}"
58,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test40()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
}"
59,"    public JexlBuilder cacheThreshold(final int length) {
        this.cacheThreshold = length > 0? length : CACHE_THRESHOLD;
        return this;
    }","  public void test41()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.stackOverflow(0);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
}"
60,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test42()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.stackOverflow((-303));
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
}"
61,"    public JexlBuilder lexical(final boolean flag) {
        options.setLexical(flag);
        return this;
    }","  public void test43()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.lexicalShade(true);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder1.strategy(jexlUberspect_ResolverStrategy0);
}"
62,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test44()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.lexicalShade(true);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder1.strategy(jexlUberspect_ResolverStrategy0);
}"
63,"    public JexlBuilder lexical(final boolean flag) {
        options.setLexical(flag);
        return this;
    }","  public void test45()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.lexical(true);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
}"
64,"    public JexlBuilder collectMode(final int mode) {
        this.collectMode = mode;
        return this;
    }","  public void test46()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.collectMode((-13));
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
}"
65,"    public JexlBuilder collectAll(final boolean flag) {
        return collectMode(flag? 1 : 0);
    }","  public void test47()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
}"
66,"    public JexlBuilder collectAll(final boolean flag) {
        return collectMode(flag? 1 : 0);
    }","  public void test48()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.collectAll(false);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
}"
67,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test49()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
}"
68,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test50()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.cache(0);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
}"
69,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test51()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlBuilder jexlBuilder1 = jexlBuilder0.cache(Integer.MAX_VALUE);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.MAP_STRATEGY;
      jexlBuilder1.strategy(jexlUberspect_ResolverStrategy0);
}"
70,"    public JexlBuilder antish(final boolean flag) {
        options.setAntish(flag);
        return this;
    }","  public void test52()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.antish(false);
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
}"
71,"    public JexlBuilder cache(final int size) {
        this.cache = size;
        return this;
    }","  public void test53()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
      jexlBuilder0.strategy();
}"
72,"    public JexlBuilder collectMode(final int mode) {
        this.collectMode = mode;
        return this;
    }","  public void test54()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
      jexlBuilder0.strategy();
}"
73,"    public JexlBuilder cacheThreshold(final int length) {
        this.cacheThreshold = length > 0? length : CACHE_THRESHOLD;
        return this;
    }","  public void test55()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
      jexlBuilder0.strategy();
}"
74,"    public JexlBuilder stackOverflow(final int size) {
        this.stackOverflow = size;
        return this;
    }","  public void test56()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      JexlUberspect.ResolverStrategy jexlUberspect_ResolverStrategy0 = JexlUberspect.JEXL_STRATEGY;
      jexlBuilder0.strategy(jexlUberspect_ResolverStrategy0);
      jexlBuilder0.strategy();
}"
75,"    public JexlBuilder lexicalShade(final boolean flag) {
        options.setLexicalShade(flag);
        return this;
    }","  public void test57()  throws Throwable  {
      JexlBuilder jexlBuilder0 = new JexlBuilder();
      jexlBuilder0.lexicalShade(true);
      jexlBuilder0.stackOverflow((-303));
}"
